areacode,districtcode,city_geocode,city,district_geocode,district,lon,lat,sta_fc,sta_rt,province,fc_lon,fc_lat,rt_lon,rt_lat,origin_areacode,exclude
101280401,441400,441400,梅州市,441400,梅州,116.117582,24.299112,59117,59117,广东省,116.0692,24.2811,116.0692,24.2811,101280401,1
101280405,441402,441400,梅州市,441402,梅江,116.12116,24.302593,59117,59117,广东省,116.0692,24.2811,116.0692,24.2811,101280405,0
101280409,441403,441400,梅州市,441403,梅县,116.083482,24.267825,59117,59117,广东省,116.0692,24.2811,116.0692,24.2811,101280409,0
101280404,441422,441400,梅州市,441422,大埔,116.69552,24.351587,59116,59116,广东省,116.6997,24.3439,116.6997,24.3439,101280404,0
101280406,441423,441400,梅州市,441423,丰顺,116.184419,23.752771,59310,59310,广东省,116.1744,23.77,116.1744,23.77,101280406,0
101280408,441424,441400,梅州市,441424,五华,115.775004,23.925424,59303,59303,广东省,115.7514,23.9114,115.7514,23.9114,101280408,0
101280407,441426,441400,梅州市,441426,平远,115.891729,24.569651,59106,59106,广东省,115.8706,24.5625,115.8706,24.5625,101280407,0
101280403,441427,441400,梅州市,441427,蕉岭,116.170531,24.653313,59114,59114,广东省,116.17,24.6453,116.17,24.6453,101280403,0
101280402,441481,441400,梅州市,441481,兴宁,115.731648,24.138077,59109,59109,广东省,115.7156,24.1678,115.7156,24.1678,101280402,0
101282101,441500,441500,汕尾市,441500,汕尾,115.364238,22.774485,59501,59501,广东省,115.3667,22.8,115.3667,22.8,101282101,1
101282130,441502,441500,汕尾市,441502,城区,115.364238,22.774485,59501,59501,广东省,115.3667,22.8,115.3667,22.8,101282104,0
101282102,441521,441500,汕尾市,441521,海丰,115.337324,22.971042,59500,59500,广东省,115.3125,23.0181,115.3125,23.0181,101282102,0
101282104,441523,441500,汕尾市,441523,陆河,115.657565,23.302682,59501,59501,广东省,115.3667,22.8,115.3667,22.8,101282104,0
101282103,441581,441500,汕尾市,441581,陆丰,115.644203,22.946104,59502,59502,广东省,115.6519,22.9653,115.6519,22.9653,101282103,0
101281201,441600,441600,河源市,441600,河源,114.697802,23.746266,59293,59293,广东省,114.7297,23.7936,114.7297,23.7936,101281201,1
101281207,441602,441600,河源市,441602,源城,114.696828,23.746255,59293,59293,广东省,114.7297,23.7936,114.7297,23.7936,101281207,0
101281202,441621,441600,河源市,441621,紫金,115.184383,23.633744,59304,59304,广东省,115.1761,23.6286,115.1761,23.6286,101281202,0
101281205,441622,441600,河源市,441622,龙川,115.256415,24.101174,59107,59107,广东省,115.2758,24.1142,115.2758,24.1142,101281205,0
101281203,441623,441600,河源市,441623,连平,114.495952,24.364227,59096,59096,广东省,114.4958,24.3886,114.4958,24.3886,101281203,0
101281204,441624,441600,河源市,441624,和平,114.941473,24.44318,59099,59099,广东省,114.9278,24.4475,114.9278,24.4475,101281204,0
101281206,441625,441600,河源市,441625,东源,114.742711,23.789093,59293,59293,广东省,114.7297,23.7936,114.7297,23.7936,101281206,0
101281801,441700,441700,阳江市,441700,阳江,111.975107,21.859222,59663,59663,广东省,111.9783,21.8453,111.9783,21.8453,101281801,1
101281805,441702,441700,阳江市,441702,江城区,111.968909,21.859182,59663,59663,广东省,111.9783,21.8453,111.9783,21.8453,101281805,0
101281803,441704,441700,阳江市,441704,阳东,112.011267,21.864728,59663,59663,广东省,111.9783,21.8453,111.9783,21.8453,101281803,0
